# file	kind	mood_tags	bytes	license	artist_or_owner	source_url	usage	status	evidence_or_reason
# RULE: no HDRI above 1K resolution enters the shelf (2K/4K/8K variants exist upstream — extended pack is owner opt-in only).
# RULE: no model enters unless EVERY metadata.json legal[] entry is CC0 (string "CC0" + publicdomain/zero/1.0 URL); CC-BY = owner opt-in with an attribution row; sync gates this at every tier.
# RULE: shelf assets are scaffolding/lighting/placeholders — client heroes ship the client's own model (with these HDRIs), never the demo glbs.
hdri/venice_sunset_1k.hdr	hdri	sunset,golden-hour,warm,marketing-hero	1440400	CC0	Greg Zaal / Poly Haven	https://dl.polyhaven.org/file/ph-assets/HDRIs/hdr/1k/venice_sunset_1k.hdr	environment-image	vendored	page-level CC0 verified 2026-08-03 at polyhaven.com/a/venice_sunset; drei preset "sunset" is this exact file
hdri/studio_small_03_1k.hdr	hdri	studio,neutral,product,high-contrast	1686299	CC0	Greg Zaal / Poly Haven	https://dl.polyhaven.org/file/ph-assets/HDRIs/hdr/1k/studio_small_03_1k.hdr	environment-image	vendored	page-level CC0 verified 2026-08-03 at polyhaven.com/a/studio_small_03; drei preset "studio" is this exact file
models/SheenChair.glb	model	furniture,fabric,sheen,product-demo	4125648	CC0	Eric Chadwick (owner: Wayfair, LLC)	https://raw.githubusercontent.com/KhronosGroup/glTF-Sample-Assets/2bac6f8c57bf471df0d2a1e8a8ec023c7801dddf/Models/SheenChair/glTF-Binary/SheenChair.glb	placeholder,hero-model	core-tier-pending-signoff	legal[] all-CC0 in models/SheenChair.metadata.json (checked: Models/SheenChair/metadata.json @ khronos_pin 2bac6f8c57bf471df0d2a1e8a8ec023c7801dddf)
models/ToyCar.glb	model	toy,car,clearcoat,playful,product-demo	5422412	CC0	Guido Odendahl + Eric Chadwick (owner: Public)	https://raw.githubusercontent.com/KhronosGroup/glTF-Sample-Assets/2bac6f8c57bf471df0d2a1e8a8ec023c7801dddf/Models/ToyCar/glTF-Binary/ToyCar.glb	placeholder,hero-model	core-tier-pending-signoff	legal[] all-CC0 x2 entries in models/ToyCar.metadata.json (checked: Models/ToyCar/metadata.json @ khronos_pin 2bac6f8c57bf471df0d2a1e8a8ec023c7801dddf)
Models/DamagedHelmet	model	-	-	CC-BY + CC-BY-NC	ctxwing / theblueturtle_	https://github.com/KhronosGroup/glTF-Sample-Assets/tree/main/Models/DamagedHelmet	-	excluded	legal[] = [CC-BY-4.0 conversion (ctxwing), CC-BY-NC-4.0 base model (theblueturtle_)] verified @ khronos_pin 2bac6f8c57bf471df0d2a1e8a8ec023c7801dddf — NC-tainted composite, unusable commercially
Models/MaterialsVariantsShoe	model	-	-	CC-BY-4.0	Shopify	https://github.com/KhronosGroup/glTF-Sample-Assets/tree/main/Models/MaterialsVariantsShoe	-	excluded	CC-BY requires attribution — owner opt-in ONLY, with an attribution row added here first
Models/FlightHelmet	model	-	-	CC0	-	https://github.com/KhronosGroup/glTF-Sample-Assets/tree/main/Models/FlightHelmet	-	excluded	46MB and no .glb form — fails the size bar regardless of license
Models/ABeautifulGame	model	-	-	CC0	-	https://github.com/KhronosGroup/glTF-Sample-Assets/tree/main/Models/ABeautifulGame	-	excluded	23-41MB size class — fails the size bar
Models/MosquitoInAmber	model	-	-	CC0	-	https://github.com/KhronosGroup/glTF-Sample-Assets/tree/main/Models/MosquitoInAmber	-	excluded	23-41MB size class — fails the size bar
Models/BoomBox	model	-	-	CC0	Microsoft	https://github.com/KhronosGroup/glTF-Sample-Assets/tree/main/Models/BoomBox	-	excluded	8.5-10MB — weaker value-per-MB than the two core picks
Models/Lantern	model	-	-	CC0	Microsoft	https://github.com/KhronosGroup/glTF-Sample-Assets/tree/main/Models/Lantern	-	excluded	8.5-10MB — weaker value-per-MB than the two core picks
Models/WaterBottle	model	-	-	CC0	Microsoft	https://github.com/KhronosGroup/glTF-Sample-Assets/tree/main/Models/WaterBottle	-	excluded	CC0 and small-ish but weaker value-per-MB — extended-pack candidate, owner opt-in
